"Nusa Sentral Bukit Indah Room for Rent (Immediate move in)","johor","Nusajaya, Johor Bahru","RM 600.00","2019-08-02","01/08/2019","7","7067036"
"Middle Room at Nusa Sentral, Iskandar Puteri","johor","Nusa Sentral, Iskandar Puteri","RM 600.00","2019-08-02","01/08/2019","7","7347840"
"Medium Room at Johor Bahru, Johor","johor","Johor Bahru, Johor","RM 900.00","2019-08-02","01/08/2019","7","7346643"
"Fully Furnished SemiD Middle Room at Bukit Indah, Nusa Duta","johor","Bukit Indah, Johor Bahru","RM 700.00","2019-08-02","01/08/2019","7","7432639"
"Middle Room at Taman Pelangi, Johor Bahru","johor","Taman Maju Jaya, Johor Bahru","RM 600.00","2019-08-02","01/08/2019","7","7432589"
"Middle Room at Iskandar Puteri, Johor Bahru","johor","Iskandar Puteri, Johor Bahru","RM 600.00","2019-08-02","01/08/2019","7","7432544"
"Master room at Johor Bukit Indah Condo D'Inspire","johor","Johor Bahru, Johor","RM 900.00","2019-08-02","01/08/2019","7","7432490"
"Middle Room at Johor Bahru, Johor","johor","Johor Bahru, Johor","RM 750.00","2019-08-02","01/08/2019","7","7432567"
"Skyview Apartment Single Room at Bukit Indah, Johor Bahru","johor","Bukit Indah, Johor Bahru","RM 550.00","2019-08-02","01/08/2019","7","7432557"
"Rent a Room near to JB Check point. JB CIQ. City SQ All Near","johor","City Square Office Tower, Johor Bahru","RM 480.00","2019-08-02","01/08/2019","7","7432356"
"Middle Room at Taman Universiti, Skudai","johor","Taman Universiti, Skudai","RM 270.00","2019-08-02","01/08/2019","7","7432332"
"Master Room at Johor Bahru, Johor","johor","Johor Bahru, Johor","RM 800.00","2019-08-02","01/08/2019","7","7432244"
"Mencari housemate at Taman Ehsan Jaya, Tebrau","johor","Taman Ehsan Jaya, Tebrau","RM 250.00","2019-08-02","01/08/2019","7","7432262"
"Middle Room at Kluang Mall, Kluang","johor","Kluang Mall, Kluang","RM 150.00","2019-08-02","01/08/2019","7","7432225"
"Room For Rent (Fully Furnished), 3 mins to Aeon Bukit Indah (Direct Owner)","johor","Nusajaya, Johor Bahru","RM 600.00","2019-08-02","31/07/2019","7","7385461"
"Medium Room at Johor Bahru, Johor","johor","Johor Bahru, Johor","RM 900.00","2019-08-02","31/07/2019","7","7354154"
"Single Room at Taman Mount Austin, Tebrau","johor","Taman Mount Austin, Tebrau","RM 650.00","2019-08-02","31/07/2019","7","7432062"
"Master Room at Taman Mount Austin, Tebrau","johor","Taman Mount Austin, Tebrau","RM 800.00","2019-08-02","31/07/2019","7","7432048"
"Middle Room at Skudai, Johor Bahru","johor","Skudai, Johor Bahru","RM 520.00","2019-08-02","31/07/2019","7","7432040"
"Middle Room at Permas Jaya, Johor Bahru","johor","Permas Jaya, Johor Bahru","RM 700.00","2019-08-02","31/07/2019","7","7432069"
